
Black, Sara, 6, si
Black, SARA, 74, yes
Black, sara, 6, yes
Black, sara, 4, yes
Black, sara, 7, yes
Withe, sara, 3, No
Black, Sara, 7, Yes
Black, Sara, 7, Yes
Gray, Dulce, 6, Yes
Black, Dulcinea, 5, Yes
Yellow, Corazón, 8, no
Yellow, Corazón, 8, no
Yellow, Corazón, 8, Yes
Withe, Corazón, 8, Yes
Gray, Dulce, 6, Yes
Gray, Dulce, 8, Yes
Gray, Dulce, 8, Yes
Withe, Dulcinea, 12, Yes
Withe, Figaro, 24, Yes
Withe, Figaro, 12, Yes
Withe, Figaro, 24, Yes
Withe, Figaro, 24, Yes
Black, Figaro, 24, Yes
Withe, Figuero, 24, Yes
Withe, Figuero, 24, Yes
Withe, Figuero, 24, Yes
Withe, Figoro, 26, Yes
Black, Figoro, 26, Yes
Black, Figoro, 26, Yes
Withe, Figoro, 28, No
